College_Name,Description,Logo
K L University,"K L University is a higher educational institution Deemed to be University, located in Vaddeswaram, near Vijayawada, Andhra Pradesh, India. Established in 1980 as a college of engineering, it consists of eight schools, offering academic programs at UG, PG, doctoral, and post-doctoral industry-focused courses.",https://upload.wikimedia.org/wikipedia/en/thumb/7/78/KL_University_logo.svg/1200px-KL_University_logo.svg.png
"Amity University, Gurgaon","Amity University, Gurugram is a private university located in the Pachgaon cluster of villages, near Manesar, Gurugram district, Haryana, India. The university was established in 2010 by the Amity Education Group through The Haryana Private Universities (Amendment) Act, 2010.",https://collegekampus.com/wp-content/uploads/2022/10/amity-university-logo-1-1024x1024.jpeg
"SRM University Delhi NCR, Sonepat","SRM University, Haryana (SRMH), also known as SRM University, Delhi-NCR, Sonepat, is a state private university located at the Rajiv Gandhi Education City in Sonepat, Haryana, India. The university was established in 2013 by the SRM Institute of Science & Technology Trust (SRM IST Trust), Chennai through The Haryana Private Universities (Amendment) Act, 2013 The university is part of the SRM Educational Group which also includes the parent deemed university, SRM Institute of Science and Technology, headquartered in Chennai, and another private university, SRM University, Sikkim, among other institutes.",https://collegekampus.com/wp-content/uploads/2020/04/logo-SRM_University_Haryana.gif
Narsee Monjee Institute of Management Studies,"Shri Vile Parle Kelavani Mandal's Narsee Monjee Institute of Management Studies (abbreviated as SVKM's NMIMS) is a private deemed university located in Mumbai. It has 17 constituent schools that offer both undergraduate and postgraduate courses in management, engineering, commerce, pharmacy, architecture, economics, mathematical sciences, hospitality, science, law, aviation, liberal arts, performing arts, architecture & design.",https://3.bp.blogspot.com/-twVX9YHq3y0/Tm-Sj76ZzAI/AAAAAAAAADc/bI_A_VSs2Ro/s1600/NMIMS-logo.jpg
Radha Govind University,"Radha Govind University is a private university located in Lalki Ghati, Ramgarh district, Jharkhand, India. == Campus == The campus is spread over 33 acres of land.",https://www.excelbee.com/images/university/radha-govind-university-logo.jpg
North East Frontier Technical University,"North East Frontier Technical University (NEFTU) was established under 2F of UGC Act 1956 through The North East Frontier Technical University Act, 2014, by the Government of Arunachal Pradesh Legislative, vide notification number LAW/LEGN-9/2014, in the Indian state of Arunachal Pradesh, in 2014. The university is located in Aalo, West Siang district, Arunachal Pradesh, India.",https://brillianzgroup.com/wp-content/uploads/2022/02/Neftu-2-300x300.png
Shri Rawatpura Sarkar University,"Shri Rawatpura Sarkar University (SRU) is a state private university located at the village Dhaneli in Raipur district, Chhattisgarh, India. It was established in 2018 by the Shri Rawatpura Sarkar Lok Kalyan Trust under the Chhattisgarh Private Universities (Establishmentand Operation) (Amendment) Act, 2018.",https://static.wikia.nocookie.net/logopedia/images/8/83/Shri_Rawatpura_Sarkar_University_logo.png/revision/latest?cb=20200402091231
Modern Vidya Niketan,"Modern Vidya Niketan (MVN) Schools are located in the Faridabad, National Capital Region (NCR) of India. Modern Vidya Niketan has been categorised under English medium school.",https://images.uniapply.com/uploads/college/image/logo/2579/Modern_Vidya_Niketan_954_Logo_1.jpg
Institute of Hotel Management Catering Technology and,"Mumbai (Marathi: Mumba?, pronounced [?mumb?i], muum-BY), also known as Bombay ( BOMB-BAY; its official name until 1995), is the capital city of the Indian state of Maharashtra. Mumbai is the financial capital and the most populous city proper of India with an estimated population of 12.5 million (1.25 crore).",https://www.ihmct.in/wp-content/uploads/2021/02/cropped-ihmct-logo-300x300.jpeg
International Institute of Hotel Management,"International Institute of Hotel Management or IIHM is a hospitality and hotel management school with campuses in India at Goa, Kolkata, Bangalore, Delhi, Pune, Ahmedabad, Jaipur, Hyderabad and international campuses at Bangkok and Samarkand. International Institute of Hotel Management was founded by Dr.",https://theknowledgereview.com/wp-content/uploads/2019/06/International-Institute-of-Hotel-Management.jpg
Himalayan University,"Himalayan University is a state private university in Itanagar, Arunachal Pradesh, India. The university was established to develop and uplift the economy through higher education to raise the literacy rate that make up especially the North Eastern part of India as well as all other parts of India.",https://www.himalayanuniversity.com/images/logo.png
Himgiri Zee University,"Jigyasa University (formerly Himgiri Zee University) is a Private university located in Dehradun, Uttarakhand, India. It was initially established under the Uttaranchal State Act No.",https://edurank.org/assets/img/uni-logos/himgiri-zee-university-logo.png
Birla Institute of Technology,"Birla Institute of Technology, Mesra (BIT, Mesra) is a government funded technical institute (GFTI) situated at Ranchi, Jharkhand, India. It was declared as a deemed university under Section 3 of the UGC Act.",https://www.eduopinions.com/wp-content/uploads/2019/08/Birla-Institute-of-Technology-and-Science-logo-350x350.png
Arunachal University of Studies,Arunachal University of Studies (AUS) is a state private university located at Namsai. The Arunachal University of Studies (AUS) has been established by Govt.,https://examupdates.in/wp-content/uploads/2023/02/Arunachal-University-of-Studies.jpg
University of Kashmir,"University of Kashmir (UoK), informally known as Kashmir University (KU), is a collegiate public state university located in the Hazratbal neighbourhood, on the western side of Dal Lake in the city of Srinagar, in Jammu and Kashmir, India, which was established in 1948. The university is divided into three parts; Hazratbal Campus (main campus), Naseem Bagh Campus, and Mirza Bagh Campus.",https://play-lh.googleusercontent.com/xr7yR01MvatHXFjP9Fja2QVak4Tpyv5AIlGHHpvQ4Szr5T9hj2FkltCr7_2-T_qJ_TD_
Sharda University,"Sharda University, Greater Noida, is a private university in Uttar Pradesh, established in 2009 under the Uttar Pradesh State Legislature Act No.14 of 2009 and is recognized by the University Grants Commission under Section 2(f) with the right to confer degrees as per Section 22(1) of the UGC Act,1956. It is part of the Sharda Group of Institutions founded by Pradeep Kumar Gupta and Yatendra Kumar Gupta.",https://logowik.com/content/uploads/images/sharda-university5058.jpg
Jaipur National University,"Jaipur National University (JNU), is a private university located in Jaipur, the capital of Rajasthan, India. == History == Jaipur National University came into existence in the year 2007.",http://biz.prlog.org/jnujpronline/logo.jpg
Bahra University,"Bahra University is a private university located in Waknaghat, Solan district, Himachal Pradesh, India. The university was established in 2011 by the Rayat-Bahra Group (registered as Bahra Educational and Charitable Society) through the Bahra University (Establishment and Regulation) Act, 2010.",https://static.wikia.nocookie.net/logopedia/images/6/6d/Bahra_University_logo.png/revision/latest/scale-to-width-down/250?cb=20200402100955
Siksha 'O' Anusandhan University,"Siksha 'O' Anusandhan (SOA), formerly Siksha 'O' Anusandhan University (SOA University) (transl. Education and Research University (ERU)) is a private deemed university in Bhubaneswar, Odisha, India. Many of the programs are nationally accredited, such as engineering, medicine, pharmacy, business, nursing, biotechnology, science, humanities, environment, nano technology, materials science, agriculture and law.",https://i.pinimg.com/736x/d3/ca/7e/d3ca7e8eea8e78f9310096774ec4f423.jpg
Maharaja Sayajirao University of Baroda,"Maharaja Sayajirao University of Baroda, formerly Baroda College, is a public university in the city of Vadodara, Gujarat, India. Originally established as a college in 1881, it became a public university on April 30, 1949 and was renamed after its benefactor Maharaja Sayajirao Gaekwad III, the former ruler of Baroda State.",http://www.afaindia.com/img/top-design-institute/msulogo.png
Netaji Subhas University,"Netaji Subhas University of Technology (NSUT), formerly Netaji Subhas Institute of Technology (NSIT) is a state university located in Dwarka, Delhi, India. In 2018, the institute was granted university status, changing its name to Netaji Subhas University of Technology (NSUT).",https://images.shiksha.com/mediadata/images/1664874172php95OnYY.jpeg
LNCT University,"LNCT University is a private university in Bhopal, Madhya Pradesh, India. It was established in 2015 by the LNCT (Laxmi Narain College of Technology) Group.",https://www.edarabia.com/wp-content/uploads/2018/09/lnct-university-bhopal-india.jpg
Manipal Academy of Higher Education,"The Manipal Academy of Higher Education (MAHE) is a private deemed university in the Udupi district of Karnataka, India. The school has campuses in Mangaluru, Bengaluru, and Jamshedpur in India, as well as global campuses in Dubai and Malaysia.",https://open.ieee.org/wp-content/uploads/Institutional-Partner-Manipal-Academy-of-Higher-Education-690x485-1.png
Kurukshetra University,"Kurukshetra University, Kurukshetra (KUK) is a university established on 11 January 1956 in Kurukshetra, in the Indian state of Haryana, 160 kilometres (99 mi) from the capital, Delhi. It is a member of Association of Commonwealth Universities.",https://edurank.org/assets/img/uni-logos/kurukshetra-university-logo.png
Maharaja Agrasen University,"Maharaja Agrasen University is a private university located at the HIMUDA Education Hub, near the village Kallujhanda, District Solan, Himachal Pradesh, India. It was founded by Nand Kishore Garg in the town of Barotiwala in 2013.",https://www.excelbee.com/images/university/maharaja-agrasen-university-logo.jpg
Graphic Era Hill University,"Graphic Era University (formerly known as Graphic Era Institute of Technology) is an Indian private graphic university located in Clement Town, Dehradun, Uttarakhand. It was founded by Dr.",https://iiast.iaic-publisher.org/wp-content/uploads/2019/08/Graphic_Era_Hill_University_Logo-removebg-preview.png
Gauhati University,"Gauhati University also known as GU, is a collegiate public state university located in Guwahati, Assam, India. It was established on 26 January 1948 under the provisions of an Act enacted by the Assam Legislative Assembly and is the oldest university in Northeast India.",https://images.all-free-download.com/images/graphiclarge/gauhati_university_logo_6814570.jpg
Ganpat University,"Ganpat University (GUNI) is a private university located in Kherva, Mehsana, in the Indian state of Gujarat. Established in 2005 through State Legislative Act No.",https://vectorseek.com/wp-content/uploads/2021/02/present.png
Dr. C.V. Raman University,"Dr. C.V. Raman University is a state private university located in Kota, Chhattisgarh, India.",http://digitallearning.eletsonline.com/wp-content/uploads/2017/04/cv-raman-university.jpg
Gopal Narayan Singh University,"Gopal Narayan Singh University (GNSU) is a state private university located at Jamuhar village near the city of Sasaram in Rohtas district, Bihar, India. It is one of the first six private universities in Bihar.",https://static.wikia.nocookie.net/logopedia/images/4/44/Gopal_Narayan_Singh_University_logo.png/revision/latest?cb=20200402081845
Aligarh Muslim University,"Aligarh Muslim University is a collegiate, central, and research university located in Aligarh, Uttar Pradesh, India, which was originally established by Sir Syed Ahmad Khan as the Muhammadan Anglo-Oriental College in 1875. Muhammadan Anglo-Oriental College became Aligarh Muslim University in 1920, following the Aligarh Muslim University Act.",https://www.vhv.rs/dpng/d/566-5669379_thumb-image-aligarh-muslim-university-logo-hd-png.png
Baddi University of Emerging Sciences and Technologies,"Baddi University of Emerging Sciences and Technology (BUEST), formerly the Institute of Engineering and Emerging Technology (IEET), commonly referred to as Baddi University, is a private university located at Baddi, Himachal Pradesh, India. It was recognized as a university in 2009.",https://static.wikia.nocookie.net/logopedia/images/8/85/Baddi_University_of_Emerging_Sciences_and_Technologies_logo.jpg/revision/latest/scale-to-width-down/200?cb=20200402100757
Acharya Nagarjuna University,"Acharya Nagarjuna University (IAST: ?c?rya N?g?rjuna Vi?vavidy?laya) is a state university in Namburu, Guntur district, Andhra Pradesh, India. == History == The university was established as Nagarjuna University by Act 43 of 1976 of A. P. State Legislature and Governed by Act 4 of 1991 covering 6 Universities of the State.",https://www.edarabia.com/wp-content/uploads/2013/08/acharya-nagarjuna-university-logo-india.jpg
Aryabhatta Knowledge University,"Aryabhatta Knowledge University (AKU Patna) is a collegiate public state university located in Mithapur, Patna, Bihar, India. It was named after the Indian astronomer Aryabhatta.",https://img.studyclap.com/img/institute/logo/17f5b8d4df-aku-patna.jpg
William Carey University,"William Carey University (Carey, William Carey, or WCU) is a private Christian university in Mississippi, United States. The institution is affiliated with the Southern Baptist Convention and the Mississippi Baptist Convention.",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/william_carey_u-1/standard.png?1548464154
Sri Sri University,"Sri Sri University, is an Indian private university, based in Cuttack, Odisha, established on 26 December 2009. The university came into operation in the year 2012.",https://srisriuniversity.edu.in/registration/mainLOGO.png
"Swami Vivekanand University, Sagar","Swami Vivekananda University or Sri Vivekanand Niji University (SVN) is a private university located in Sagar, Madhya Pradesh, India. The university was established in 2011 and it is approved by the University Grants Commission.",https://www.svnuniversity.co.in/mainsite/logo.jpg
Tezpur University,"Tezpur University is a Central University located in Tezpur in the North-Eastern state of Assam, India, established by an act of Parliament, in 1994. == History == The establishment of Tezpur University is considered to be one of the outcomes of the Assam Accord, along with the establishment of Assam University and Indian Institute of Technology Guwahati.",https://edubeginner.com/wp-content/uploads/2023/06/Tezpur-University-1.png
Sri Sai University,"Sri Sai University (SSU) is a private university located in Palampur, Kangra district, Himachal Pradesh. It was established in 2011.",https://www.edarabia.com/wp-content/uploads/2013/08/sri-sai-university-logo-india.jpg
Vinayaka Missions Sikkim University,"Sikkim Professional University, erstwhile Vinayaka Missions Sikkim University, Gangtok, Sikkim, India is a State Private University founded in the year 2008 under Sikkim Professional University Act, Sikkim (Act No. 11 of 2008) of Sikkim State Assembly.",https://www.edarabia.com/wp-content/uploads/2013/08/vinayaka-missions-sikkim-university-logo-india.jpg
Suresh Gyan Vihar University,"Suresh Gyan Vihar University (SGVU) is a private university located in Jaipur, Rajasthan, India. The university was established through the Suresh Gyan Vihar University, Jaipur Act (Act no.",https://static.wikia.nocookie.net/logopedia/images/f/f1/Gyan_Vihar_Logo.jpg/revision/latest?cb=20200404113919
Sarala Birla University,"Sarala Birla University (SBU) is a private university located in the Birla Knowledge City in the Ara, about 10 kilometres (6.2 mi) from Ranchi on the Ranchi-Purulia highway, in the Namkum block of Ranchi, Jharkhand, India. The university was established by Bharat Arogya and Gyan Mandir through the Sarla Birla University Act, 2017 which was passed by the Jharkhand Legislative Assembly on 3 February 2017 following a letter of intent in November 2016.",https://static.wikia.nocookie.net/logopedia/images/d/d7/Sarla_Birla_University_logo.png/revision/latest?cb=20200403093753
Seacom Skills University,"Seacom Skills University (SSU) is a private university located in Bolpur, West Bengal, India enacted by The Seacom Skills University Act, 2014 (West Bengal Act VI of 2014) by the West Bengal Legislative Assembly. Seacom Skills University offers UG, PG, diploma, PhD courses in Engineering, Management, Legal Sciences, Agriculture & Hospitality etc.",https://wikiwandv2-19431.kxcdn.com/_next/image?url=https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Seacom_Skills_University_Logo.svg/640px-Seacom_Skills_University_Logo.svg.png&w=640&q=50
Patna University,"Patna University is a public state university in Patna, Bihar, India. It was established on 1 October 1917 during the British Raj.",https://www.fastjobsearchers.com/univ/images/patna-university-logo.jpg
Savitribai Phule Pune University,"Savitribai Phule Pune University (SPPU), formerly the University of Pune, is a public state university located in the city of Pune, India. It was established in 1949, and is spread over a 411 acres (1.66 km2) campus in the neighbourhood of Ganeshkhind.",https://www.pkc.org.in/wp-content/uploads/2022/01/sppu-logo.jpg
Pt. Ravishankar Shukla University,"Pandit Ravishankar Shukla University is an institution of higher education located in Raipur, Chhattisgarh, India. It is one of the largest and oldest and top most institutions of higher education in Chhattisgarh .",http://www.prsuuniv.in/resources/assets/img/logo.png
Pondicherry University,"Pondicherry University, also known as PU, is a central research university located in Kalapet, Pondicherry in Union Territory of Puducherry, India. It was established by an Act of Parliament in 1985 by the Department of Higher Education, Ministry of Education, Government of India.",https://www.facultyplus.com/wp-content/uploads/2021/01/Pondicherry-university-logo.png
Nirma University,"Nirma University (NU) is a private university located in Ahmedabad, Gujarat, India. It functions under the aegis of the Nirma Education and Research Foundation (NERF).",https://edurank.org/assets/img/uni-logos/nirma-university-logo.png
Post Graduate Institute of Medical Education &,"Postgraduate Institute of Medical Education and Research (PGIMER) is a public medical university in Chandigarh, India. It is an 'Institute of National Importance'.",https://static.wikia.nocookie.net/logopedia/images/0/0b/Institute_of_Post-Graduate_Medical_Education_and_Research.png/revision/latest?cb=20200427125414
Nalanda Open University,"Nalanda Open University (NOU) is a university at Patna in Bihar state, India. Nalanda Open University Degree/Diploma /Certificates are eligible for higher studies, public & private sector employment and service promotions.",https://w7.pngwing.com/pngs/673/634/png-transparent-nalanda-open-university-nava-nalanda-mahavihara-nalanda-university-tibetan-culture-text-logo-university.png
Manipur University,"Manipur University (Meitei: Manipur Taibang Maheikol) is a central university located in Imphal, Manipur, India. It was established on 5 June 1980, under the Manipur University Act, 1980 (Manipur Act 8 of 1980), as a teaching cum-affiliating university with territorial jurisdiction over the state of Manipur.",https://edurank.org/assets/img/uni-logos/manipur-university-logo.png
Manav Bharti University,"Manav Bharti University is a private university located in the village Laddo near Kumarhatti in Solan district in the Indian state of Himachal Pradesh. Despite claiming to be established under the Himachal Pradesh State Legislature Act and notified under Section 2(f) of the University Grants Commission Act of 1956, as of February 2020 the institution has been rocked by multiple criticism over its issuance of degrees.",https://edurank.org/assets/img/uni-logos/manav-bharti-university-logo.png
Institute of Technology and Science,"Dr. A.P.J. Abdul Kalam Technical University (AKTU), before 2015 known as the Uttar Pradesh Technical University (UPTU), is a public collegiate university in Lucknow, Uttar Pradesh, India.",https://cdn.imgbin.com/1/15/0/imgbin-birla-institute-of-technology-and-science-pilani-dubai-campus-birla-institute-of-technology-science-pilani-hyderabad-birla-institute-of-technology-science-pilani-goa-student-ERaY7sFJU4FmKhWPFa3AqnuzQ.jpg
Graphic Era University,"Graphic Era University (formerly known as Graphic Era Institute of Technology) is an Indian private graphic university located in Clement Town, Dehradun, Uttarakhand. It was founded by Dr.",https://yt3.ggpht.com/-OAt9kSMM_Qo/AAAAAAAAAAI/AAAAAAAAAAA/l9wwsgchWzY/s900-c-k-no/photo.jpg
JECRC University,"JECRC University (formerly Jaipur Engineering College & Research Centre) is a private university located in Jaipur, Rajasthan, India. == Academics and Research == JECRC University offers several undergraduate and postgraduate-level courses and PhD programmes in science and technology, arts, commerce, health and medicine, law, etc.",https://jecrcuniversity.edu.in/wp-content/uploads/2023/01/JECRC-LOGO-1.png
ICFAI Business School,"The ICFAI Business School Hyderabad (IBS Hyderabad) is a business school in India. It was founded in 1995 and is located in Dontanapalli, Shankarpally Road, Hyderabad.",https://mma.prnewswire.com/media/1023356/IBS_Logo.jpg
Eternal University,Eternal University is a private university inHimachal Pradesh established by an Act of the state legislature of Himachal. It is located in the 450-acre (1.8 km2) educational campus popularly known as Baru Sahib- The Valley of Divine Peace.,https://www.edarabia.com/wp-content/uploads/2013/08/eternal-university-logo-india.jpg
"Christ University, Bangalore","Christ University, earlier known as Christ College, is a private deemed-to-be-university located in Bengaluru, Karnataka, India. On 22 July 2008, it was declared as an institution deemed to be university under section 3 of UGC Act 1956.",https://i1.wp.com/www.mbacollegesbengaluru.in/wp-content/uploads/Christ-University-logo.jpg?resize=1024%2C411
Chhatrapati Shahu Ji Maharaj University,"Chhatrapati Shahu Ji Maharaj University (CSJMU), formerly Kanpur University, is a public state collegiate university located in Kanpur, Uttar Pradesh, India. It is administered under the state legislature of the government of Uttar Pradesh.",https://csjmu.ac.in/wp-content/uploads/2021/12/csjm-university-logo-big-278x300.png
Assam Down Town University,"Assam Down Town University was established through the Assam Down Town University Act, 2010 in the state of Assam, India in 2010. The university is located in Panikhaiti, Guwahati, the capital of Assam.",https://institute.careerguide.com/wp-content/uploads/2023/02/logo__5_-removebg-preview.png
Central University of Kashmir,"Central University of Kashmir (often abbreviated as CUKmr), formerly Central University of Jammu and Kashmir, is a central university in the Ganderbal district of Jammu and Kashmir, India. It was established in March 2009 through an Act of Parliament, ""The Central Universities Act, 2009,"" by the Government of India.",https://images.all-free-download.com/images/graphiclarge/central_university_of_kashmir_logo_6817001.jpg
Awadhesh Pratap Singh University,"Awadhesh Pratap Singh University is a public university in Rewa city, Madhya Pradesh. The university was named after Captain Awadhesh Pratap Singh, a politician and an activist.",https://static.wikia.nocookie.net/logopedia/images/3/3e/APSU.jpeg/revision/latest?cb=20200403140155
Capital University,"Capital University (Capital, Cap, or CU) is a private university in Bexley, Ohio, United States. Capital was founded as the Theological Seminary of the Evangelical Lutheran Synod of Ohio in 1830 and later was associated with that synod's successor, the American Lutheran Church.",https://members.apiabroad.com/wp-content/uploads/2021/10/Capital-Univ-horiz-logo.png
Abhilashi University,"Abhilashi University (AU) is a private university located in Chailchowk, in Mandi district, Himachal Pradesh, India. The university was established in 2015 by the Abhilashi Educational Society through the Abhilashi University (Establishment and Regulation) Act, 2014.",https://www.excelbee.com/images/university/abhilashi-university-logo.jpg
Banaras Hindu University,"Banaras Hindu University () (BHU), formerly Benares Hindu University, is a collegiate, central, and research university located in Varanasi, Uttar Pradesh, India, and founded in 1916. The university incorporated the Central Hindu College, which had been founded by theosophist and future Indian Home Rule leader Annie Besant in 1898.",https://www.pngkit.com/png/full/270-2704383_banaras-hindu-university-banaras-hindu-university-logo.png
Barkatullah University,"Barkatullah University is a public university in Bhopal, Madhya Pradesh, India. formally known as University of Bhopal, and informally known as Bhopal University.",https://edurank.org/assets/img/uni-logos/barkatullah-university-logo.png
Venkateshwara Open University,"Venkateshwara Open University (VOU) is a state private University located in Naharlagun, Arunachal Pradesh, India. It was established by the Venkateshwara Open University Act No.10 of 2012 of the Government of Arunachal Pradesh in 2012 by Venkateshwara Group Of Institution.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiIktUbOuua-VBrb7ZCEmkKT799PzBzNJDzAAUq8cDAAPbRh7ML14Lqfbd3yLotnbSrpEQrBVfayHK_wZk4BeDyrQrk_FU13NjwRL5QbW8TLZ1cQHNsnaMzHTK26547fnZAcbBV7OaihPbAKZ97YTBTiZrNdQpBwUGYiwyY8DJtSWcyOYHCgXo4rJKq/s500/Venkateshwara Open University.png
University of Rajasthan,"The University of Rajasthan, informally known as Rajasthan University (RU, ISO: R?jasth?n Vi?vavidy?laya), is a public state university located in Jaipur, Rajasthan, India. It was founded in 1947 by an Act of the State Legislative Assembly and is recognised as a prominent institution in the region.",http://www.mysarkarinaukri.com/files/images/logo2_0.preview.gif
Sri Venkateswara University,"Sri Venkateswara University (commonly referred as S. V. University or SVU) is a public state university located in Tirupati in Andhra Pradesh, India. The university is named after Lord Venkateswara, whose shrine is located in the city.",https://www.nicepng.com/png/detail/248-2480948_sri-venkateswara-university-tirupati-logo.png
Teerthanker Mahaveer University,"Teerthanker Mahaveer University also known as TMU is a private university in Moradabad, Uttar Pradesh, India, established in 2008. It offers courses at all levels, namely UG, PG and doctoral in a variety of disciplines including medicine, engineering, law, and arts.",https://static.wikia.nocookie.net/logopedia/images/7/76/TMUM.jpeg/revision/latest?cb=20200404195559
Vellore Institute of Technology,"Vellore Institute of Technology or VIT is a private deemed university in Vellore, Tamil Nadu, India. The institution offers 66 Undergraduate, 58 Postgraduate, 15 Integrated, 2 Research and 2 M.Tech.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjA0kUA7E2WE0583bQjnohHCJ2HuXtwnKpNFblyD4x5cpYkFTOdTgRbgs5sM2mC7CHu4vcxTLV0Ag0RMO6y-dyLbzy2JYlzsSBYcIEG91IzLBDdiPRH6VYnajdAwnzxJ4uLJ0NI-QGSLw5NvDHnzyO4enZLLV9pNM3U8sHRiIxfdUvIaJXZuUAVCJTg/w1200-h630-p-k-no-nu/Vellore Institute of Technology.jpg
Sister Nivedita University,"Sister Nivedita University is a private university located in New Town, Kolkata. It was established by the Sister Nivedita University Act, 2017.",https://i.pinimg.com/736x/7b/a8/a9/7ba8a92df24ad0d9a6498ee9c26e1e87.jpg
Sikkim Manipal University,"Sikkim Manipal University (SMU), formerly Sikkim Manipal University of Health, Medical and Technological Sciences, is a private university located in Gangtok, Sikkim, India. The Sikkim Manipal University started its journey in 1992, after the signing of an agreement between the Government of Sikkim and the Manipal Education & Medical Group (MEMG).",https://www.careerindia.com/img/2017/02/sikkimmanipaluniversity-03-1486103858.jpg
Tilka Manjhi Bhagalpur University,"Tilka Majhi Bhagalpur University, formerly Bhagalpur University, is a public university in Bhagalpur, Bihar, India. It was established on 12 July 1960, having local colleges initially associated with Patna University.",https://universitykart.b-cdn.net/Content/upload/admin/m1co44fi.tri.jpg
Swami Rama Himalayan University,"Swami Rama Himalayan University (SRHU) is a private university about 25 kilometers southeast of Dehradun city and in close vicinity of Jolly Grant Airport, in the north Indian state of Uttarakhand. The university is named after Indian yogi Swami Rama == History == In April 2012, a proposal for establishing a university was put before the Government of Uttarakhand by Himalayan Institute Hospital Trust.",https://www.excelbee.com/images/university/swami-rama-himalayan-university-logo.png
Tata Institute of Social Sciences,"Tata Institute of Social Sciences (TISS) is a multi-campus public university in Mumbai, India. It is Asia's oldest institute for professional social work education and was founded in 1936 in the then Bombay Presidency of British India as the Sir Dorabji Tata Graduate School of Social Work by the Sir Dorabji Tata Trust.",https://cdn.freelogovectors.net/wp-content/uploads/2020/01/tiss-logo.png
Osmania University,"Osmania University is a collegiate public state university located in Hyderabad, Telangana, India. Mir Osman Ali Khan, the 7th Nizam of Hyderabad, issued a firman calling for its creation on 29 August 1917.",https://vectorseek.com/wp-content/uploads/2023/10/Osmania-University-Logo-Vector.svg-.png
